,language,endangerment,latitude,longitude
1985,Ahtna,Critically endangered,62.7547,-144.3164
1987,Caddo,Critically endangered,35.0985,-98.2603
1988,Columbian,Critically endangered,48.1764,-119.0523
1997,Upper Kuskokwim,Critically endangered,63.0091,-154.3889
1999,Kashaya,Critically endangered,38.6603,-123.3045
2002,Washo,Severely endangered,38.9226,-119.7256
2033,Nez Perce,Critically endangered,46.4347,-116.8268
2037,Panamint,Critically endangered,36.4555,-116.8666
2059,Tanana,Critically endangered,64.605,-149.0625
2060,Ingalik,Critically endangered,62.1655,-156.3134
2065,Han (United States of America),Critically endangered,64.7837,-141.2172
2066,Hupa,Critically endangered,41.7624,-123.7028
2067,Karuk,Severely endangered,41.7929,-123.3763
2068,Makah,Critically endangered,48.3658,-124.6118
2073,Yurok,Critically endangered,41.0607,-124.1413
2076,Achumawi,Critically endangered,40.8816,-122.6715
2078,Arikara,Critically endangered,47.648,-101.8327
2084,Gros Ventre,Critically endangered,48.4824,-108.7639
2094,Kawaiisu,Critically endangered,35.0589,-118.4026
2105,Mandan,Critically endangered,47.5165,-102.2461
2115,Northern Paiute (Idaho),Critically endangered,43.0439,-112.4566
2117,Oneida (Wisconsin),Critically endangered,44.5158,-88.0075
2118,Onondaga (New York),Critically endangered,43.047,-76.1422
2119,Osage,Critically endangered,36.6683,-96.3316
2121,Pawnee,Critically endangered,36.3372,-96.8032
2131,Tule-Kaweah Yokuts,Critically endangered,36.0269,-118.7213
2133,Wichita,Critically endangered,35.0647,-98.2788
2153,Kiksht,Critically endangered,44.2708,-121.2871
2158,Ipai,Critically endangered,32.9359,-116.868
2160,Kings River Yokuts,Critically endangered,36.9104,-118.9261
2163,Northern Sierra Miwok,Critically endangered,38.4008,-120.5351
2174,Holikachuk,Critically endangered,64.2254,-155.3027
2179,Kalispel,Critically endangered,48.2549,-117.2174
2182,Luiseño,Critically endangered,33.4622,-117.1269
2183,Lushootseed,Critically endangered,47.6074,-122.5681
2203,Yuchi,Critically endangered,36.0009,-96.0988
2205,Coeur d'Alene,Critically endangered,43.3433,-116.8873
2222,Central Pomo,Critically endangered,38.9704,-123.6893
2223,Central Sierra Miwok,Critically endangered,37.962,-120.2384
2224,Chemehuevi,Critically endangered,34.0138,-114.2146
2225,Kiowa Apache,Critically endangered,35.1018,-98.6033
2226,Konkow,Critically endangered,39.467,-121.5155
2227,Lake Miwok,Critically endangered,38.6426,-122.3849
2229,Mescalero-Chiricahua Apache (Oklahoma),Critically endangered,34.8986,-98.3589
2230,Northern Pomo,Critically endangered,39.4143,-123.3502
2232,Southern Pomo,Critically endangered,38.7048,-122.8971
2233,Southern Sierra Miwok,Critically endangered,37.6148,-119.789
2234,Tubatulabal,Critically endangered,35.6444,-118.5183
2235,Tuscarora (United States of America),Critically endangered,43.0877,-79.0627
2245,Klallam,Critically endangered,47.8475,-122.585
2251,Maidu,Critically endangered,40.4134,-120.6738
2252,Oneida (New York),Critically endangered,43.0778,-75.6622
2257,Spokane,Critically endangered,47.9286,-118.0165
2271,Patwin,Critically endangered,38.7608,-122.0354
2276,Tolowa,Critically endangered,41.9566,-124.1915
2279,Wintu-Nomlaki,Critically endangered,39.8637,-122.0822
2292,Antoniano,Extinct,35.9717,-121.1757
2295,Arapaho (Oklahoma),Extinct,35.602,-97.9712
2302,Atsugewi,Extinct,40.8824,-122.6661
2307,Barbareño,Extinct,34.4227,-119.7039
2319,Catawba,Extinct,34.9361,-81.0272
2320,Cayuga (Oklahoma),Extinct,36.6302,-94.6441
2321,Cayuse,Extinct,44.9647,-118.5424
2322,Central Kalapuyan,Extinct,43.8,-123.06
2326,Cowlitz,Extinct,46.132,-122.8642
2329,Cupeño,Extinct,33.364,-117.0756
2340,Eastern Abenaki,Extinct,44.9423,-68.7328
2342,Eastern Pomo,Extinct,39.0461,-122.9211
