,name,countries,country codes alpha 3,endangerment,speakers,latitude,longitude
60,Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",Definitely endangered,500000.0,40.2292,21.1376
61,Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG",Vulnerable,500000.0,29.0369,66.5826
62,Languedocian,France,FRA,Severely endangered,500000.0,43.8899,2.5378
63,Lezgian,"Azerbaijan, Russian Federation","AZE, RUS",Vulnerable,500000.0,41.4921,48.0541
64,Mahasui,India,IND,Definitely endangered,496024.0,31.2738,77.1295
65,Magar,Nepal,NPL,Definitely endangered,489383.0,28.0816,83.4301
66,Mam (Guatemala),Guatemala,GTM,Vulnerable,477717.0,14.9305,-91.9078
67,Udmurt,Russian Federation,RUS,Definitely endangered,463837.0,57.2315,52.8662
68,Huasteca Náhuatl,Mexico,MEX,Vulnerable,463183.0,21.3835,-98.9902
69,Kumyk,Russian Federation,RUS,Vulnerable,458121.0,43.397,46.9775
70,Yakut,Russian Federation,RUS,Vulnerable,456288.0,62.3496,130.8691
71,Kaqchikel (Guatemala),Guatemala,GTM,Vulnerable,444954.0,14.7814,-90.7925
72,Karbi,India,IND,Vulnerable,420000.0,26.2934,93.2299
73,Eastern Mari,Russian Federation,RUS,Definitely endangered,414211.0,56.632,47.8784
74,Ingush,Russian Federation,RUS,Vulnerable,405343.0,43.145,45.1043
75,Erzya,Russian Federation,RUS,Definitely endangered,400000.0,54.1302,45.4394
76,Ho,India,IND,Vulnerable,400000.0,21.637,86.4404
77,Judezmo (Israel),Israel,ISR,Severely endangered,400000.0,32.0872,34.7737
78,Lalo,China,CHN,Vulnerable,400000.0,25.383,99.9426
79,Limousin,France,FRA,Severely endangered,400000.0,46.0579,1.8017
80,Logudorese,Italy,ITA,Definitely endangered,400000.0,40.1116,9.1845
81,Mapuche (Chile),Chile,CHL,Definitely endangered,400000.0,-38.5653,-73.081
82,Central Náhuatl,Mexico,MEX,Vulnerable,395581.0,19.191,-99.0236
83,Moselle Franconian,"Germany, Belgium, France, Luxembourg","DEU, BEL, FRA, LUX",Vulnerable,390000.0,49.6071,6.1248
84,Bantawa,Nepal,NPL,Vulnerable,371056.0,27.0994,87.0048
85,Santa,China,CHN,Vulnerable,360000.0,35.5411,102.7935
86,Mingrelian,Georgia,GEO,Definitely endangered,350000.0,42.4599,41.7205
87,West Frisian,Netherlands,NLD,Vulnerable,350000.0,53.1006,5.6579
88,Gurung,Nepal,NPL,Definitely endangered,338925.0,28.275,84.1782
89,Guajiro,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",Vulnerable,318500.0,11.8673,-71.9824
90,Karachay-Balkar,Russian Federation,RUS,Vulnerable,302748.0,44.2137,42.8466
91,Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey","IRQ, ISR, JOR, MKD, RUS, SYR, TUR",Vulnerable,300000.0,44.9181,39.7485
92,Buryat (Trans-Baikal),Russian Federation,RUS,Definitely endangered,300000.0,50.8336,109.5117
93,Kurru,India,IND,Definitely endangered,300000.0,16.6151,81.6284
94,Kuvi,India,IND,Definitely endangered,300000.0,18.9478,83.5839
95,Limbu,"India, Nepal","IND, NPL",Definitely endangered,300000.0,27.096,87.7356
96,Moroccan Judeo-Arabic (Israel),Israel,ISR,Definitely endangered,300000.0,32.0476,34.7552
97,Plautdietsch,Ukraine,UKR,Definitely endangered,300000.0,47.0738,35.5545
98,Pontic Greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine","ARM, GEO, GRC, RUS, TUR, UKR",Definitely endangered,300000.0,40.847,40.0149
99,"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Ecuador,ECU,Definitely endangered,300000.0,-1.8673,-78.9257
100,Waxiang,China,CHN,Vulnerable,300000.0,28.5652,110.3576
101,Oyrat,"China, Kyrgyzstan, Mongolia","CHN, KGZ, MNG",Definitely endangered,280000.0,46.195,88.7255
102,Garhwali,India,IND,Vulnerable,279500.0,30.0976,79.1235
103,Bade,Nigeria,NGA,Vulnerable,250000.0,12.801,11.1181
104,Breton,France,FRA,Severely endangered,250000.0,48.2246,-3.9331
105,Gascon,"Spain, France","ESP, FRA",Definitely endangered,250000.0,43.1811,-0.1428
106,Phula (China),China,CHN,Vulnerable,250000.0,22.6001,104.0004
107,Sora,India,IND,Vulnerable,250000.0,19.1244,83.2104
108,Konyak,India,IND,Vulnerable,248000.0,26.9367,95.1745
109,Ao,India,IND,Vulnerable,243000.0,26.4361,94.6472
110,Tuvan,"China, Mongolia, Russian Federation","CHN, MNG, RUS",Vulnerable,242754.0,51.7134,94.3945
111,Nafusi,Libyan Arab Jamahiriya,LBY,Severely endangered,240000.0,32.6393,13.4252
112,Suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey","ARM, IRN, IRQ, SYR, TUR",Definitely endangered,240000.0,36.4477,43.2971
113,Malto,India,IND,Definitely endangered,224926.0,23.7853,85.4736
114,Khowar,Pakistan,PAK,Vulnerable,222800.0,35.8667,71.7956
115,Maiya,Pakistan,PAK,Vulnerable,220000.0,35.3151,72.908
116,Komi,Russian Federation,RUS,Definitely endangered,217316.0,62.3087,51.5917
117,Alpine Provençal,"France, Italy","FRA, ITA",Definitely endangered,200000.0,44.7467,6.6796
118,Gallo,France,FRA,Severely endangered,200000.0,47.931,-2.0544
119,Gera,Nigeria,NGA,Vulnerable,200000.0,10.5553,10.0579
120,Irula,India,IND,Vulnerable,200000.0,11.4369,76.5032
121,Kharia,India,IND,Vulnerable,200000.0,21.8003,85.4956
122,Khorasani Turk,Iran (Islamic Republic of),IRN,Vulnerable,200000.0,36.6596,57.854
123,Korku,India,IND,Vulnerable,200000.0,20.3034,80.2441
124,Moksha,Russian Federation,RUS,Definitely endangered,200000.0,54.1817,43.2751
125,Western Armenian (Middle East),"Iraq, Lebanon, Syrian Arab Republic","IRQ, LBN, SYR",Definitely endangered,200000.0,33.884,35.5133
126,Western Cham,Cambodia,KHM,Vulnerable,200000.0,12.0333,105.4333
