,name,countries,country codes alpha 3,endangerment,speakers,latitude,longitude
665,Nauruan,Nauru,NRU,Severely endangered,6000.0,-0.53,166.9221
666,Nheengatu / Yeral (Brazil),Brazil,BRA,Severely endangered,6000.0,-0.4833,-67.0166
667,Parachi,Afghanistan,AFG,Definitely endangered,6000.0,34.4658,68.637
668,Quechua of San Martín,Peru,PER,Severely endangered,6000.0,-6.5336,-76.4428
669,Sawkna,Libyan Arab Jamahiriya,LBY,Critically endangered,6000.0,27.252,17.7539
670,Sulung,"China, India","CHN, IND",Definitely endangered,6000.0,27.839,92.8784
671,Tindi,Russian Federation,RUS,Definitely endangered,6000.0,42.466,46.1453
672,Western Apache,United States of America,USA,Definitely endangered,6000.0,33.2563,-110.4637
673,Yanomami (Brazil),Brazil,BRA,Vulnerable,6000.0,3.0746,-63.457
674,Yazgulami,Tajikistan,TJK,Severely endangered,6000.0,38.1982,71.4276
675,Chantyal,Nepal,NPL,Definitely endangered,5912.0,28.4493,83.4054
676,Mortlockese,Micronesia (Federated States of),FSM,Definitely endangered,5904.0,5.5811,153.5668
677,Baníwa do Içana,"Brazil, Colombia, Venezuela (Bolivarian Republic of)","BRA, COL, VEN",Vulnerable,5811.0,1.2743,-68.291
678,"Akawaio (Guyana, Venezuela)","Guyana, Venezuela (Bolivarian Republic of)","GUY, VEN",Definitely endangered,5800.0,5.3753,-60.5126
679,Akhvakh,Russian Federation,RUS,Definitely endangered,5793.0,42.472,46.3238
680,Veps,Russian Federation,RUS,Severely endangered,5753.0,60.3269,34.8046
681,Qikiqtaaluk nigiani,Canada,CAN,Vulnerable,5740.0,63.7577,-68.5178
682,Sipakapense,Guatemala,GTM,Definitely endangered,5687.0,15.2121,-91.6335
683,Bribri (Costa Rica),Costa Rica,CRI,Vulnerable,5647.0,9.5596,-83.3073
684,Bainouk-Gunyaamolo,Senegal,SEN,Vulnerable,5635.0,12.7421,-16.1141
685,Kwatay,Senegal,SEN,Severely endangered,5625.0,12.4204,-16.7596
686,Baheng (Viet Nam),Viet Nam,VNM,Vulnerable,5569.0,22.8166,106.35
687,Central Zoque,Mexico,MEX,Definitely endangered,5500.0,17.0965,-93.2095
688,Dameli,Pakistan,PAK,Severely endangered,5500.0,35.578,71.8684
689,Sak (Bangladesh),Bangladesh,BGD,Severely endangered,5500.0,21.5041,92.2055
690,Yidgha,Pakistan,PAK,Definitely endangered,5500.0,36.0024,71.6006
691,Southeastern Tarahumara,Mexico,MEX,Vulnerable,5406.0,26.0891,-106.9645
692,Chimané,Bolivia (Plurinational State of),BOL,Vulnerable,5300.0,-15.2629,-66.8518
693,Dilling,Sudan,SDN,Definitely endangered,5295.0,12.0178,29.663
694,San Dionisio del Mar Huave,Mexico,MEX,Definitely endangered,5165.0,16.3166,-94.75
695,Lafofa,Sudan,SDN,Severely endangered,5140.0,10.3716,30.6243
696,Akeu,"Lao People's Democratic Republic, Myanmar, Thailand","LAO, MMR, THA",Definitely endangered,5000.0,21.5833,101.0166
697,Anung (China),China,CHN,Critically endangered,5000.0,26.7368,98.7766
698,Bagvalal,Russian Federation,RUS,Definitely endangered,5000.0,42.5247,46.192
699,Bambassi,Ethiopia,ETH,Definitely endangered,5000.0,9.7469,34.7662
700,Barí,Colombia,COL,Vulnerable,5000.0,9.0261,-73.2678
701,Bartangi,Tajikistan,TJK,Severely endangered,5000.0,38.048,71.8286
702,Bokar,"China, India","CHN, IND",Vulnerable,5000.0,28.8735,94.3807
703,Brokpa,Bhutan,BTN,Definitely endangered,5000.0,27.3766,91.9981
704,Creek,United States of America,USA,Definitely endangered,5000.0,35.6319,-95.9616
705,Cubeo (Colombia),Colombia,COL,Vulnerable,5000.0,1.5,-70.5
706,Dagur (Hailar),China,CHN,Definitely endangered,5000.0,48.6111,119.7949
707,Damal,Indonesia,IDN,Vulnerable,5000.0,-4.2806,137.0324
708,Dhaiso,United Republic of Tanzania,TZA,Definitely endangered,5000.0,-5.0745,38.4741
709,Gorum,India,IND,Definitely endangered,5000.0,18.667,83.0346
710,Guarayu,Bolivia (Plurinational State of),BOL,Definitely endangered,5000.0,-15.919,-62.8747
711,Gutnish,Sweden,SWE,Definitely endangered,5000.0,57.3027,18.5284
712,Hopi,United States of America,USA,Vulnerable,5000.0,35.8721,-110.6205
713,Ilue,Nigeria,NGA,Critically endangered,5000.0,4.9185,8.2397
714,Jibbali,Oman,OMN,Severely endangered,5000.0,18.0623,52.4267
715,Kalasha,Pakistan,PAK,Severely endangered,5000.0,35.6684,71.7201
716,Kami,United Republic of Tanzania,TZA,Severely endangered,5000.0,-6.8937,37.1337
717,Kathu,China,CHN,Definitely endangered,5000.0,24.136,105.249
718,Khojki,Oman,OMN,Severely endangered,5000.0,23.6193,58.5653
719,Khwe,Namibia,NAM,Definitely endangered,5000.0,-18.271,21.4892
720,Kom,India,IND,Definitely endangered,5000.0,24.0414,93.6639
721,Korandje,Algeria,DZA,Severely endangered,5000.0,29.4049,-3.2605
722,Lachi,Viet Nam,VNM,Definitely endangered,5000.0,22.5,104.1333
723,Mak,China,CHN,Definitely endangered,5000.0,25.5532,107.3809
724,Manihiki,Cook Islands,COK,Definitely endangered,5000.0,-10.4,-161.0
725,Megleno-Romanian,"Greece, The former Yugoslav Republic of Macedonia","GRC, MKD",Severely endangered,5000.0,41.1042,22.2025
726,Miji,India,IND,Definitely endangered,5000.0,27.3351,92.5735
727,Mo'ang (China),China,CHN,Definitely endangered,5000.0,23.8421,103.9116
728,Mo'ang (Viet Nam),Viet Nam,VNM,Definitely endangered,5000.0,22.7833,105.3666
729,Molise Croatian,Italy,ITA,Severely endangered,5000.0,41.8787,14.7065
730,Moroccan Judeo-Arabic (Morocco),Morocco,MAR,Severely endangered,5000.0,34.0435,-5.0097
731,Namuyi,China,CHN,Vulnerable,5000.0,28.0727,101.9565
732,Padoe,Indonesia,IDN,Vulnerable,5000.0,-2.6467,121.2615
733,Patamona (Guyana),Guyana,GUY,Vulnerable,5000.0,4.5873,-59.8095
734,Pu,India,IND,Critically endangered,5000.0,8.2549,93.1022
735,Pume,Venezuela (Bolivarian Republic of),VEN,Definitely endangered,5000.0,6.7518,-68.247
736,Singpho,India,IND,Definitely endangered,5000.0,27.5569,96.7456
737,Turi,India,IND,Definitely endangered,5000.0,21.8411,87.2973
738,Udi (Azerbaijan),Azerbaijan,AZE,Severely endangered,5000.0,41.0689,47.4609
739,Yecuana (Venezuela),Venezuela (Bolivarian Republic of),VEN,Vulnerable,5000.0,4.8501,-64.5117
740,Jirel,Nepal,NPL,Definitely endangered,4919.0,27.6419,86.2123
741,Dolgan,Russian Federation,RUS,Definitely endangered,4865.0,71.3851,97.3388
743,Tsum,Nepal,NPL,Definitely endangered,4786.0,28.4723,85.008
744,Northern Tlapanec,Mexico,MEX,Vulnerable,4771.0,17.4203,-98.7814
745,Taroko,China,CHN,Vulnerable,4750.0,24.0916,121.5218
746,Kivallirmiutut,Canada,CAN,Vulnerable,4675.0,61.0982,-94.1201
747,Puebla Mazatec,Mexico,MEX,Vulnerable,4660.0,18.476,-96.8351
748,Zapotec of Petapa,Mexico,MEX,Definitely endangered,4613.0,16.8333,-95.1166
749,Dungmali,Nepal,NPL,Definitely endangered,4609.0,27.1874,87.1902
750,Saryg Yugur,China,CHN,Severely endangered,4600.0,39.2747,98.8439
751,Qikiqtaaluk uannangani,Canada,CAN,Vulnerable,4550.0,69.3878,-81.615
752,Afitti,Sudan,SDN,Severely endangered,4512.0,12.4419,30.7534
753,Nomatsiguenga,Peru,PER,Severely endangered,4500.0,-11.3292,-74.3664
754,Piapoko,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",Definitely endangered,4500.0,4.0396,-68.0712
755,Tokelauan,Tokelau,TKL,Severely endangered,4500.0,-9.1699,-171.8206
756,Wotu,Indonesia,IDN,Vulnerable,4500.0,-2.6303,120.888
757,Wambule,Nepal,NPL,Vulnerable,4471.0,27.1746,86.4363
758,Southern East Cree,Canada,CAN,Vulnerable,4455.0,50.587,-73.6365
759,Arbore,Ethiopia,ETH,Definitely endangered,4441.0,5.069,36.892
760,Ebang,Sudan,SDN,Severely endangered,4412.0,11.313,30.5886
761,Tafi,Ghana,GHA,Vulnerable,4400.0,6.73,0.4421
762,Puma,Nepal,NPL,Severely endangered,4310.0,26.9692,86.9004
763,Gyele,"Cameroon, Equatorial Guinea","CMR, GNQ",Definitely endangered,4280.0,2.2241,9.8986
764,Bwisi,"Congo, Gabon","COG, GAB",Definitely endangered,4248.0,-3.5572,11.4477
765,Eastern Montagnais,Canada,CAN,Vulnerable,4180.0,50.2136,-66.193
766,Atikamekw,Canada,CAN,Vulnerable,4155.0,47.2104,-74.3827
767,Western Zoque,Mexico,MEX,Vulnerable,4100.0,16.9063,-91.7333
768,Acoma-Laguna,United States of America,USA,Definitely endangered,4000.0,34.8964,-107.5816
769,Aka,"India, Sudan","IND, SDN",Definitely endangered,4000.0,27.1666,92.6312
770,Baga Manduri,Guinea,GIN,Definitely endangered,4000.0,10.0986,-14.0405
771,Baga Sitemu,Guinea,GIN,Severely endangered,4000.0,10.1094,-14.1586
772,Botlikh,Russian Federation,RUS,Definitely endangered,4000.0,42.6602,46.2222
773,Bunan,India,IND,Definitely endangered,4000.0,32.7503,76.2451
774,Cashinahua (Peru),Peru,PER,Definitely endangered,4000.0,-10.3581,-71.5869
775,Cha'palaa,Ecuador,ECU,Definitely endangered,4000.0,0.9386,-79.0055
776,Evenki (Manchuria),China,CHN,Severely endangered,4000.0,50.34,123.43
777,Gazhuo,China,CHN,Definitely endangered,4000.0,24.0959,102.5463
778,Godoberi,Russian Federation,RUS,Definitely endangered,4000.0,42.643,46.1027
779,"Kari'ña (Guyana, Suriname)","Guyana, Suriname","GUY, SUR",Severely endangered,4000.0,6.8828,-60.2929
780,Lishan Didan (Israel),Israel,ISR,Severely endangered,4000.0,32.0383,34.7827
781,Maleng,Lao People's Democratic Republic,LAO,Definitely endangered,4000.0,18.0166,105.0
782,Napu,Indonesia,IDN,Vulnerable,4000.0,-1.2882,120.2536
783,Rahambuu,Indonesia,IDN,Vulnerable,4000.0,-3.1898,121.0858
784,Shingsaba,"China, Nepal","CHN, NPL",Vulnerable,4000.0,27.7163,87.4731
785,Sinkiang Dagur,China,CHN,Definitely endangered,4000.0,46.7737,83.0017
786,Taa,Botswana,BWA,Definitely endangered,4000.0,-24.1367,20.1049
787,Tennet,Sudan,SDN,Vulnerable,4000.0,4.8611,33.2226
788,Wapishana (Brazil),Brazil,BRA,Definitely endangered,4000.0,2.8113,-61.2377
789,Yagua,Peru,PER,Definitely endangered,4000.0,-3.3598,-72.3779
790,Yanomám,Brazil,BRA,Vulnerable,4000.0,3.3818,-63.8085
791,Yanomami (Venezuela),Venezuela (Bolivarian Republic of),VEN,Vulnerable,4000.0,2.5918,-64.7314
792,Younuo Bunu,China,CHN,Definitely endangered,4000.0,25.1463,106.5405
793,Zenaga (Mauritania),Mauritania,MRT,Severely endangered,4000.0,17.3086,-13.0078
794,Baghati,India,IND,Critically endangered,3976.0,31.194,77.0471
795,Bharmauri,India,IND,Definitely endangered,3976.0,32.4912,76.8383
796,Uspantek,Guatemala,GTM,Vulnerable,3971.0,15.3475,-90.8684
797,Khang Quang Lam,Viet Nam,VNM,Severely endangered,3921.0,22.0333,102.6666
798,Konni,Ghana,GHA,Vulnerable,3800.0,10.3311,-1.6973
799,Tocho,Sudan,SDN,Severely endangered,3800.0,10.8764,30.1135
800,Mixtec of the Puebla-Oaxaca border,Mexico,MEX,Definitely endangered,3791.0,18.1333,-97.6833
801,Nupri,Nepal,NPL,Definitely endangered,3776.0,28.6384,84.6079
802,Ayoreo,Bolivia (Plurinational State of),BOL,Definitely endangered,3700.0,-18.719,-59.6228
803,Moyon,India,IND,Definitely endangered,3700.0,24.4171,94.378
804,Utsat,China,CHN,Definitely endangered,3700.0,18.2727,109.3871
805,Nayi,Ethiopia,ETH,Vulnerable,3656.0,7.2698,36.1724
806,Mussau-Emira,Papua New Guinea,PNG,Definitely endangered,3651.0,-1.4774,149.6392
807,Narim,Sudan,SDN,Definitely endangered,3623.0,4.9048,34.2224
808,Garífuna (Guatemala),Guatemala,GTM,Vulnerable,3564.0,15.8268,-88.7506
809,Nachiring,Nepal,NPL,Severely endangered,3553.0,27.4144,86.7521
810,Eastern Popoloc,Mexico,MEX,Vulnerable,3544.0,18.3322,-97.3471
811,Nding,Sudan,SDN,Critically endangered,3513.0,10.4121,30.6024
812,Anung (Myanmar),Myanmar,MMR,Severely endangered,3500.0,27.2,98.6333
813,Camsá,Colombia,COL,Definitely endangered,3500.0,0.8788,-76.7724
814,Crow,United States of America,USA,Definitely endangered,3500.0,45.5963,-107.4613
815,Sak (Myanmar),Myanmar,MMR,Vulnerable,3500.0,21.2333,93.0761
816,Shwai,Sudan,SDN,Critically endangered,3500.0,11.3184,30.4156
817,Wano,Indonesia,IDN,Definitely endangered,3500.0,-3.5463,137.9058
818,Northwestern Ojibwe,Canada,CAN,Vulnerable,3465.0,52.0016,-95.4274
819,Bakpinka,Nigeria,NGA,Critically endangered,3416.0,5.3644,8.2397
820,Morokodo,Sudan,SDN,Severely endangered,3400.0,6.0313,29.7949
821,Eloxochitlán Mazatec,Mexico,MEX,Vulnerable,3384.0,18.1754,-96.8765
822,Menik,Senegal,SEN,Definitely endangered,3375.0,12.7528,-12.2717
823,Teribe (Panama),Panama,PAN,Definitely endangered,3305.0,9.4472,-82.5166
824,Tima,Sudan,SDN,Severely endangered,3305.0,11.7033,29.1934
825,Mursi,Ethiopia,ETH,Vulnerable,3278.0,5.5831,36.5075
826,Pendau,Indonesia,IDN,Vulnerable,3200.0,0.1922,120.0091
827,Ayautla Mazatec,Mexico,MEX,Vulnerable,3192.0,18.019,-96.7441
828,Yucatec,Belize,BLZ,Definitely endangered,3155.0,17.0922,-89.1221
829,Sayultec,Mexico,MEX,Definitely endangered,3150.0,17.8816,-94.9597
830,Eastern Tlapanec,Mexico,MEX,Vulnerable,3088.0,17.8135,-98.604
831,Juhur (Caucasus),"Azerbaijan, Russian Federation","AZE, RUS",Definitely endangered,3016.0,42.0044,48.2409
832,Awjila,Libyan Arab Jamahiriya,LBY,Severely endangered,3000.0,26.6278,24.5214
833,Baleasang,Indonesia,IDN,Definitely endangered,3000.0,-0.0494,119.685
834,Benga,"Gabon, Equatorial Guinea","GAB, GNQ",Definitely endangered,3000.0,0.9997,9.8657
835,Besoa,Indonesia,IDN,Vulnerable,3000.0,-1.7163,120.4211
836,Boni,Kenya,KEN,Definitely endangered,3000.0,-0.8294,40.8142
837,Bonjo,Congo,COG,Severely endangered,3000.0,1.7712,17.9598
838,Brokshat,India,IND,Definitely endangered,3000.0,34.6478,76.4978
839,Budukh,Azerbaijan,AZE,Severely endangered,3000.0,41.1207,48.3233
840,Dahaalik,Eritrea,ERI,Critically endangered,3000.0,15.6917,40.0671
841,East Greenlandic,Greenland (Kingdom of Denmark),GRL,Definitely endangered,3000.0,65.6061,-37.6858
842,Eastern Khanty,Russian Federation,RUS,Definitely endangered,3000.0,61.2491,74.5092
843,Fyem,Nigeria,NGA,Severely endangered,3000.0,9.6332,8.8632
844,Geta?,India,IND,Severely endangered,3000.0,18.2293,82.727
845,Gura,Nigeria,NGA,Severely endangered,3000.0,10.075,6.8499
846,Harsusi,Oman,OMN,Definitely endangered,3000.0,19.9372,56.2637
847,Hozo,Ethiopia,ETH,Definitely endangered,3000.0,9.3352,34.53
848,Jemez,United States of America,USA,Vulnerable,3000.0,35.6151,-106.7242
849,Kamara,Ghana,GHA,Definitely endangered,3000.0,9.0858,-2.2576
850,Kapingamarangi,Micronesia (Federated States of),FSM,Severely endangered,3000.0,1.0828,154.8081
851,Koitabu,Papua New Guinea,PNG,Vulnerable,3000.0,-9.346,147.1179
852,Kuk,Cameroon,CMR,Definitely endangered,3000.0,6.4326,10.2365
853,Lai,China,CHN,Definitely endangered,3000.0,24.4871,105.216
854,Limirong Tibetan,Nepal,NPL,Definitely endangered,3000.0,29.9164,81.7617
855,Lishanid Noshan (Israel),Israel,ISR,Severely endangered,3000.0,31.7188,34.7772
856,Lude,Russian Federation,RUS,Severely endangered,3000.0,61.5867,33.6813
857,"Mbya Guarani (Argentina, Uruguay)","Argentina, Uruguay","ARG, URY",Severely endangered,3000.0,-29.6116,-57.4804
858,"Mohawk (Akwesasne, St. Regis)",United States of America,USA,Definitely endangered,3000.0,45.0033,-74.6497
859,Nanay,"China, Russian Federation","CHN, RUS",Severely endangered,3000.0,49.3537,136.5243
860,Palu'e,Indonesia,IDN,Definitely endangered,3000.0,-8.3242,121.7106
861,Panare,Venezuela (Bolivarian Republic of),VEN,Vulnerable,3000.0,6.5445,-66.4233
862,Pilagá,Argentina,ARG,Vulnerable,3000.0,-25.4035,-58.6669
863,Pitjantjatjara,Australia,AUS,Vulnerable,3000.0,-26.0719,129.9517
864,Pukur,Guinea,GIN,Definitely endangered,3000.0,10.4013,-14.4799
865,Rotuman,Fiji,FJI,Vulnerable,3000.0,-12.5063,177.0776
866,Savi,"Pakistan, Afghanistan","PAK, AFG",Definitely endangered,3000.0,35.2085,71.845
867,Sherdukpen,India,IND,Vulnerable,3000.0,27.1935,92.351
868,Shira Yugur,China,CHN,Severely endangered,3000.0,39.1002,99.2065
869,Takahanyilang,India,IND,Critically endangered,3000.0,6.85,93.8726
870,U,China,CHN,Definitely endangered,3000.0,23.4844,99.8404
871,Ulithian,Micronesia (Federated States of),FSM,Severely endangered,3000.0,10.0229,139.6801
872,Waima'a,Timor-Leste,TLS,Definitely endangered,3000.0,-8.4995,126.3372
873,Warlpiri,Australia,AUS,Vulnerable,3000.0,-20.8177,131.6601
874,Yukpa,Venezuela (Bolivarian Republic of),VEN,Vulnerable,3000.0,9.7956,-72.9382
875,Western Montagnais,Canada,CAN,Vulnerable,2980.0,48.9635,-68.5729
876,Waiwai (Brazil),Brazil,BRA,Vulnerable,2916.0,-0.7909,-58.2714
877,Jersey French,United Kingdom of Great Britain and Northern Ireland,GBR,Severely endangered,2874.0,49.2211,-2.1368
878,Bahing,Nepal,NPL,Definitely endangered,2765.0,27.3126,86.5571
879,Stoney,Canada,CAN,Vulnerable,2765.0,51.161,-114.8533
880,Southwestern Tepehuan,Mexico,MEX,Vulnerable,2756.0,22.8349,-105.7276
881,Northern Mansi,Russian Federation,RUS,Severely endangered,2746.0,62.6539,63.1494
882,Bisu,"Myanmar, Thailand","MMR, THA",Definitely endangered,2740.0,19.715,99.6789
883,Wari,Brazil,BRA,Definitely endangered,2721.0,-11.7275,-65.0061
884,Pakan,China,CHN,Definitely endangered,2700.0,23.7447,105.2235
885,Yami,China,CHN,Vulnerable,2700.0,22.0512,121.5403
886,Ko,Sudan,SDN,Critically endangered,2683.0,10.6714,30.8386
887,Yuracaré,Bolivia (Plurinational State of),BOL,Definitely endangered,2675.0,-16.6888,-65.4345
888,Aimol,India,IND,Critically endangered,2643.0,24.4971,93.6145
889,Kohi,Nepal,NPL,Vulnerable,2641.0,27.3607,86.8661
890,Chatino of the western lowlands,Mexico,MEX,Definitely endangered,2640.0,16.3049,-97.5466
891,Bolo,Angola,ANG,Definitely endangered,2627.0,-10.5526,14.9633
892,Logol,Sudan,SDN,Severely endangered,2600.0,10.8521,30.6463
893,Sila,"Lao People's Democratic Republic, Viet Nam","LAO, VNM",Definitely endangered,2600.0,22.3094,102.041
894,Pisaflores Tepehua,Mexico,MEX,Vulnerable,2578.0,20.6883,-98.0125
895,Xerente,Brazil,BRA,Severely endangered,2569.0,-9.3356,-48.2227
896,Bribri (Panama),Panama,PAN,Severely endangered,2521.0,9.4813,-82.6174
897,Achuar,"Ecuador, Peru","ECU, PER",Definitely endangered,2500.0,-2.8991,-77.4316
898,Bai,Sudan,SDN,Definitely endangered,2500.0,8.0592,25.5102
899,Banka,Mali,MLI,Definitely endangered,2500.0,11.4261,-5.6744
900,Culina (Peru),Peru,PER,Definitely endangered,2500.0,-9.6224,-70.7958
901,Gadang,Chad,TCD,Definitely endangered,2500.0,10.3473,17.2485
902,Khinalug,Azerbaijan,AZE,Severely endangered,2500.0,41.1579,48.0706
903,Laomian (China),China,CHN,Definitely endangered,2500.0,23.7645,100.0195
904,Laomian (Myanmar),Myanmar,MMR,Definitely endangered,2500.0,22.6833,99.25
905,Lhokpu,Bhutan,BTN,Definitely endangered,2500.0,26.9514,89.2968
906,Martuwangka,Australia,AUS,Vulnerable,2500.0,-24.1975,122.9589
907,Mayoruna (Peru),Peru,PER,Vulnerable,2500.0,-5.5285,-73.4765
908,Pingelapese,Micronesia (Federated States of),FSM,Severely endangered,2500.0,6.2279,160.7107
909,Rapanui,Chile,CHL,Severely endangered,2500.0,-27.108,-109.3579
910,Remo,India,IND,Severely endangered,2500.0,19.1659,82.6391
911,Roshorvi,Tajikistan,TJK,Severely endangered,2500.0,38.1086,72.1719
912,Sanglechi,"Tajikistan, Afghanistan","TJK, AFG",Severely endangered,2500.0,36.6585,71.4784
913,Semelai,Malaysia,MYS,Severely endangered,2500.0,3.1761,102.4818
914,Urak Lawoi (Malaysia),Malaysia,MYS,Definitely endangered,2500.0,6.4194,99.7869
915,Urak Lawoi (Thailand),Thailand,THA,Definitely endangered,2500.0,7.7756,98.3306
916,Zirenkel,Chad,TCD,Definitely endangered,2500.0,12.136,18.4735
917,Vumbu,Gabon,GAB,Definitely endangered,2460.0,-1.8783,10.816
918,Mopán (Guatemala),Guatemala,GTM,Severely endangered,2455.0,16.5144,-89.4167
919,Cuiba,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",Severely endangered,2445.0,6.4463,-69.9389
920,Raji,Nepal,NPL,Severely endangered,2413.0,27.9721,82.3135
921,Highland Chontal,Mexico,MEX,Severely endangered,2410.0,16.2832,-95.857
922,Yasa,"Cameroon, Equatorial Guinea","CMR, GNQ",Definitely endangered,2401.0,2.3284,9.8464
923,Bumbita Arapesh,Papua New Guinea,PNG,Vulnerable,2353.0,-3.6449,142.8002
924,Mang (China),China,CHN,Definitely endangered,2300.0,22.8293,103.1039
925,Mang (Viet Nam),Viet Nam,VNM,Definitely endangered,2300.0,22.35,102.9666
926,Tlachichilco Tepehua,Mexico,MEX,Definitely endangered,2234.0,20.6205,-98.1991
927,Blackfoot (Canada),Canada,CAN,Definitely endangered,2200.0,49.3535,-113.2884
928,Jaya,Chad,TCD,Severely endangered,2200.0,12.187,18.1645
929,Karipuna do Amapá,Brazil,BRA,Vulnerable,2200.0,3.3379,-51.6796
930,Kulfa,Chad,TCD,Definitely endangered,2200.0,9.9742,19.1848
931,Krahô,Brazil,BRA,Vulnerable,2184.0,-8.4071,-47.2851
932,Kristang,Malaysia,MYS,Severely endangered,2150.0,2.1935,102.256
933,Yine,Peru,PER,Definitely endangered,2150.0,-11.4584,-73.0261
934,North Alaskan Inupiaq (Kotzebue Sound),United States of America,USA,Severely endangered,2144.0,66.8972,-162.5855
935,North Alaskan Inupiaq (North Slope),United States of America,USA,Severely endangered,2144.0,71.2725,-156.7749
936,Seward Peninsula Inupiaq (King Island),United States of America,USA,Critically endangered,2144.0,64.9728,-168.0616
937,Seward Peninsula Inupiaq (Little Diomede Island),United States of America,USA,Critically endangered,2144.0,65.755,-168.9167
938,Seward Peninsula Inupiaq (Norton Sound),United States of America,USA,Critically endangered,2144.0,64.5433,-163.029
939,Katukína-Kanamarí,Brazil,BRA,Vulnerable,2100.0,-5.6159,-68.7304
940,Tiwi,Australia,AUS,Vulnerable,2100.0,-11.6091,130.8911
941,Zaozou,China,CHN,Vulnerable,2100.0,26.1554,99.2944
942,Ngäbere (Costa Rica),Costa Rica,CRI,Definitely endangered,2041.0,8.4723,-82.9907
943,Aiton,India,IND,Severely endangered,2000.0,26.6523,94.2901
944,Anindilyakwa,Australia,AUS,Vulnerable,2000.0,-13.9987,136.582
945,Apurinã,Brazil,BRA,Definitely endangered,2000.0,-5.4847,-63.8964
946,Arrernte,Australia,AUS,Vulnerable,2000.0,-24.1668,132.0996
947,Ashkun,Afghanistan,AFG,Definitely endangered,2000.0,34.9973,71.0746
948,Ata,Philippines,PHL,Critically endangered,2000.0,9.6081,122.9155
949,Athpahariya,Nepal,NPL,Definitely endangered,2000.0,26.952,87.3399
950,Ava-Guaraní,Argentina,ARG,Definitely endangered,2000.0,-23.1403,-64.3359
951,Bayso,Ethiopia,ETH,Definitely endangered,2000.0,6.4081,37.749
952,Birhor,India,IND,Critically endangered,2000.0,21.7594,85.935
953,Boano,Indonesia,IDN,Vulnerable,2000.0,0.4724,120.9979
954,Bori,"China, India","CHN, IND",Definitely endangered,2000.0,28.9889,94.4439
955,Chepya,Lao People's Democratic Republic,LAO,Definitely endangered,2000.0,21.3833,101.8166
956,Chilisso,Pakistan,PAK,Severely endangered,2000.0,35.2136,73.2396
957,Culina (Brazil),Brazil,BRA,Vulnerable,2000.0,-7.1008,-68.7744
958,Damana,Colombia,COL,Definitely endangered,2000.0,10.9196,-73.4985
959,Duguza,Nigeria,NGA,Definitely endangered,2000.0,9.9039,9.1186
960,Galibi Marworno,Brazil,BRA,Vulnerable,2000.0,3.4256,-52.0312
961,Gats'ama - Ganjule - Harro,Ethiopia,ETH,Definitely endangered,2000.0,5.9548,37.5292
962,Gebe,Indonesia,IDN,Vulnerable,2000.0,-0.1922,129.5397
963,Ghadames,Libyan Arab Jamahiriya,LBY,Vulnerable,2000.0,30.1166,9.5251
964,Griko (Calabria),Italy,ITA,Severely endangered,2000.0,37.9961,15.9329
965,Huilliche,Chile,CHL,Critically endangered,2000.0,-40.4803,-73.5424
966,Ik,Uganda,UGA,Severely endangered,2000.0,3.5024,34.1894
967,Jangshung,India,IND,Definitely endangered,2000.0,31.7748,78.4753
968,Jero,Nepal,NPL,Vulnerable,2000.0,27.2241,86.3909
969,Kari'ña (French Guyana),French Guiana (France),GUF,Definitely endangered,2000.0,5.5066,-53.6572
970,Khamnigan Mongol,"China, Mongolia, Russian Federation","CHN, MNG, RUS",Definitely endangered,2000.0,50.3454,114.1094
971,Kona,Nigeria,NGA,Severely endangered,2000.0,9.0587,11.2829
972,Koreguaje,Colombia,COL,Definitely endangered,2000.0,1.0,-75.0
973,Koryak,Russian Federation,RUS,Severely endangered,2000.0,61.8561,168.6621
974,Kota,India,IND,Critically endangered,2000.0,11.4154,76.8576
975,Logorik,Sudan,SDN,Critically endangered,2000.0,11.1433,29.8306
976,Lule Saami,"Norway, Sweden","NOR, SWE",Severely endangered,2000.0,67.272,17.7978
977,Luro,India,IND,Critically endangered,2000.0,7.915,93.3837
978,Mambai,Chad,TCD,Severely endangered,2000.0,9.6007,14.0899
979,Milang,India,IND,Definitely endangered,2000.0,28.488,95.2954
980,Mocoví,Argentina,ARG,Definitely endangered,2000.0,-27.6056,-59.7656
981,Momuna,Indonesia,IDN,Vulnerable,2000.0,-5.0,139.0
982,Mpi,Thailand,THA,Definitely endangered,2000.0,18.2554,100.2227
983,Muda,China,CHN,Vulnerable,2000.0,21.8421,100.6851
984,Munji,Afghanistan,AFG,Severely endangered,2000.0,36.0379,70.6723
985,Nguon,Viet Nam,VNM,Vulnerable,2000.0,17.5333,105.3833
986,Nheengatu / Yeral (Venezuela),Venezuela (Bolivarian Republic of),VEN,Severely endangered,2000.0,1.2303,-66.8408
987,Nihali,India,IND,Critically endangered,2000.0,20.5402,76.0913
988,Nyishangba,Nepal,NPL,Definitely endangered,2000.0,28.6423,84.1017
989,Ottawa (Walpole Island),"Canada, United States of America","CAN, USA",Severely endangered,2000.0,42.6068,-82.5195
990,Prasun,Afghanistan,AFG,Definitely endangered,2000.0,35.3543,71.26
991,Rukai,China,CHN,Vulnerable,2000.0,22.792,120.8104
992,Sáliba,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",Severely endangered,2000.0,5.3097,-69.873
