,language,countries,endangerment,speakers,latitude,longitude
679,Akhvakh,Russian Federation,Definitely endangered,5793,42.472,46.3238
680,Veps,Russian Federation,Severely endangered,5753,60.3269,34.8046
681,Qikiqtaaluk nigiani,Canada,Vulnerable,5740,63.7577,-68.5178
682,Sipakapense,Guatemala,Definitely endangered,5687,15.2121,-91.6335
683,Bribri (Costa Rica),Costa Rica,Vulnerable,5647,9.5596,-83.3073
684,Bainouk-Gunyaamolo,Senegal,Vulnerable,5635,12.7421,-16.1141
685,Kwatay,Senegal,Severely endangered,5625,12.4204,-16.7596
686,Baheng (Viet Nam),Viet Nam,Vulnerable,5569,22.8166,106.35
687,Central Zoque,Mexico,Definitely endangered,5500,17.0965,-93.2095
688,Dameli,Pakistan,Severely endangered,5500,35.578,71.8684
689,Sak (Bangladesh),Bangladesh,Severely endangered,5500,21.5041,92.2055
690,Yidgha,Pakistan,Definitely endangered,5500,36.0024,71.6006
691,Southeastern Tarahumara,Mexico,Vulnerable,5406,26.0891,-106.9645
692,Chimané,Bolivia (Plurinational State of),Vulnerable,5300,-15.2629,-66.8518
693,Dilling,Sudan,Definitely endangered,5295,12.0178,29.663
694,San Dionisio del Mar Huave,Mexico,Definitely endangered,5165,16.3166,-94.75
695,Lafofa,Sudan,Severely endangered,5140,10.3716,30.6243
696,Akeu,"Lao People's Democratic Republic, Myanmar, Thailand",Definitely endangered,5000,21.5833,101.0166
697,Anung (China),China,Critically endangered,5000,26.7368,98.7766
698,Bagvalal,Russian Federation,Definitely endangered,5000,42.5247,46.192
699,Bambassi,Ethiopia,Definitely endangered,5000,9.7469,34.7662
700,Barí,Colombia,Vulnerable,5000,9.0261,-73.2678
701,Bartangi,Tajikistan,Severely endangered,5000,38.048,71.8286
702,Bokar,"China, India",Vulnerable,5000,28.8735,94.3807
703,Brokpa,Bhutan,Definitely endangered,5000,27.3766,91.9981
704,Creek,United States of America,Definitely endangered,5000,35.6319,-95.9616
705,Cubeo (Colombia),Colombia,Vulnerable,5000,1.5,-70.5
706,Dagur (Hailar),China,Definitely endangered,5000,48.6111,119.7949
707,Damal,Indonesia,Vulnerable,5000,-4.2806,137.0324
708,Dhaiso,United Republic of Tanzania,Definitely endangered,5000,-5.0745,38.4741
709,Gorum,India,Definitely endangered,5000,18.667,83.0346
710,Guarayu,Bolivia (Plurinational State of),Definitely endangered,5000,-15.919,-62.8747
711,Gutnish,Sweden,Definitely endangered,5000,57.3027,18.5284
712,Hopi,United States of America,Vulnerable,5000,35.8721,-110.6205
713,Ilue,Nigeria,Critically endangered,5000,4.9185,8.2397
714,Jibbali,Oman,Severely endangered,5000,18.0623,52.4267
715,Kalasha,Pakistan,Severely endangered,5000,35.6684,71.7201
716,Kami,United Republic of Tanzania,Severely endangered,5000,-6.8937,37.1337
717,Kathu,China,Definitely endangered,5000,24.136,105.249
718,Khojki,Oman,Severely endangered,5000,23.6193,58.5653
719,Khwe,Namibia,Definitely endangered,5000,-18.271,21.4892
720,Kom,India,Definitely endangered,5000,24.0414,93.6639
721,Korandje,Algeria,Severely endangered,5000,29.4049,-3.2605
722,Lachi,Viet Nam,Definitely endangered,5000,22.5,104.1333
723,Mak,China,Definitely endangered,5000,25.5532,107.3809
724,Manihiki,Cook Islands,Definitely endangered,5000,-10.4,-161.0
725,Megleno-Romanian,"Greece, The former Yugoslav Republic of Macedonia",Severely endangered,5000,41.1042,22.2025
726,Miji,India,Definitely endangered,5000,27.3351,92.5735
727,Mo'ang (China),China,Definitely endangered,5000,23.8421,103.9116
728,Mo'ang (Viet Nam),Viet Nam,Definitely endangered,5000,22.7833,105.3666
729,Molise Croatian,Italy,Severely endangered,5000,41.8787,14.7065
730,Moroccan Judeo-Arabic (Morocco),Morocco,Severely endangered,5000,34.0435,-5.0097
731,Namuyi,China,Vulnerable,5000,28.0727,101.9565
732,Padoe,Indonesia,Vulnerable,5000,-2.6467,121.2615
733,Patamona (Guyana),Guyana,Vulnerable,5000,4.5873,-59.8095
734,Pu,India,Critically endangered,5000,8.2549,93.1022
735,Pume,Venezuela (Bolivarian Republic of),Definitely endangered,5000,6.7518,-68.247
736,Singpho,India,Definitely endangered,5000,27.5569,96.7456
737,Turi,India,Definitely endangered,5000,21.8411,87.2973
738,Udi (Azerbaijan),Azerbaijan,Severely endangered,5000,41.0689,47.4609
739,Yecuana (Venezuela),Venezuela (Bolivarian Republic of),Vulnerable,5000,4.8501,-64.5117
740,Jirel,Nepal,Definitely endangered,4919,27.6419,86.2123
741,Dolgan,Russian Federation,Definitely endangered,4865,71.3851,97.3388
743,Tsum,Nepal,Definitely endangered,4786,28.4723,85.008
744,Northern Tlapanec,Mexico,Vulnerable,4771,17.4203,-98.7814
745,Taroko,China,Vulnerable,4750,24.0916,121.5218
746,Kivallirmiutut,Canada,Vulnerable,4675,61.0982,-94.1201
747,Puebla Mazatec,Mexico,Vulnerable,4660,18.476,-96.8351
748,Zapotec of Petapa,Mexico,Definitely endangered,4613,16.8333,-95.1166
749,Dungmali,Nepal,Definitely endangered,4609,27.1874,87.1902
750,Saryg Yugur,China,Severely endangered,4600,39.2747,98.8439
751,Qikiqtaaluk uannangani,Canada,Vulnerable,4550,69.3878,-81.615
752,Afitti,Sudan,Severely endangered,4512,12.4419,30.7534
753,Nomatsiguenga,Peru,Severely endangered,4500,-11.3292,-74.3664
754,Piapoko,"Colombia, Venezuela (Bolivarian Republic of)",Definitely endangered,4500,4.0396,-68.0712
755,Tokelauan,Tokelau,Severely endangered,4500,-9.1699,-171.8206
756,Wotu,Indonesia,Vulnerable,4500,-2.6303,120.888
757,Wambule,Nepal,Vulnerable,4471,27.1746,86.4363
758,Southern East Cree,Canada,Vulnerable,4455,50.587,-73.6365
759,Arbore,Ethiopia,Definitely endangered,4441,5.069,36.892
760,Ebang,Sudan,Severely endangered,4412,11.313,30.5886
761,Tafi,Ghana,Vulnerable,4400,6.73,0.4421
762,Puma,Nepal,Severely endangered,4310,26.9692,86.9004
763,Gyele,"Cameroon, Equatorial Guinea",Definitely endangered,4280,2.2241,9.8986
764,Bwisi,"Congo, Gabon",Definitely endangered,4248,-3.5572,11.4477
765,Eastern Montagnais,Canada,Vulnerable,4180,50.2136,-66.193
766,Atikamekw,Canada,Vulnerable,4155,47.2104,-74.3827
767,Western Zoque,Mexico,Vulnerable,4100,16.9063,-91.7333
768,Acoma-Laguna,United States of America,Definitely endangered,4000,34.8964,-107.5816
769,Aka,"India, Sudan",Definitely endangered,4000,27.1666,92.6312
770,Baga Manduri,Guinea,Definitely endangered,4000,10.0986,-14.0405
771,Baga Sitemu,Guinea,Severely endangered,4000,10.1094,-14.1586
772,Botlikh,Russian Federation,Definitely endangered,4000,42.6602,46.2222
773,Bunan,India,Definitely endangered,4000,32.7503,76.2451
774,Cashinahua (Peru),Peru,Definitely endangered,4000,-10.3581,-71.5869
775,Cha'palaa,Ecuador,Definitely endangered,4000,0.9386,-79.0055
776,Evenki (Manchuria),China,Severely endangered,4000,50.34,123.43
777,Gazhuo,China,Definitely endangered,4000,24.0959,102.5463
778,Godoberi,Russian Federation,Definitely endangered,4000,42.643,46.1027
779,"Kari'ña (Guyana, Suriname)","Guyana, Suriname",Severely endangered,4000,6.8828,-60.2929
780,Lishan Didan (Israel),Israel,Severely endangered,4000,32.0383,34.7827
781,Maleng,Lao People's Democratic Republic,Definitely endangered,4000,18.0166,105.0
782,Napu,Indonesia,Vulnerable,4000,-1.2882,120.2536
783,Rahambuu,Indonesia,Vulnerable,4000,-3.1898,121.0858
784,Shingsaba,"China, Nepal",Vulnerable,4000,27.7163,87.4731
785,Sinkiang Dagur,China,Definitely endangered,4000,46.7737,83.0017
786,Taa,Botswana,Definitely endangered,4000,-24.1367,20.1049
787,Tennet,Sudan,Vulnerable,4000,4.8611,33.2226
788,Wapishana (Brazil),Brazil,Definitely endangered,4000,2.8113,-61.2377
789,Yagua,Peru,Definitely endangered,4000,-3.3598,-72.3779
790,Yanomám,Brazil,Vulnerable,4000,3.3818,-63.8085
791,Yanomami (Venezuela),Venezuela (Bolivarian Republic of),Vulnerable,4000,2.5918,-64.7314
792,Younuo Bunu,China,Definitely endangered,4000,25.1463,106.5405
793,Zenaga (Mauritania),Mauritania,Severely endangered,4000,17.3086,-13.0078
794,Baghati,India,Critically endangered,3976,31.194,77.0471
795,Bharmauri,India,Definitely endangered,3976,32.4912,76.8383
796,Uspantek,Guatemala,Vulnerable,3971,15.3475,-90.8684
797,Khang Quang Lam,Viet Nam,Severely endangered,3921,22.0333,102.6666
798,Konni,Ghana,Vulnerable,3800,10.3311,-1.6973
799,Tocho,Sudan,Severely endangered,3800,10.8764,30.1135
800,Mixtec of the Puebla-Oaxaca border,Mexico,Definitely endangered,3791,18.1333,-97.6833
801,Nupri,Nepal,Definitely endangered,3776,28.6384,84.6079
802,Ayoreo,Bolivia (Plurinational State of),Definitely endangered,3700,-18.719,-59.6228
803,Moyon,India,Definitely endangered,3700,24.4171,94.378
804,Utsat,China,Definitely endangered,3700,18.2727,109.3871
805,Nayi,Ethiopia,Vulnerable,3656,7.2698,36.1724
806,Mussau-Emira,Papua New Guinea,Definitely endangered,3651,-1.4774,149.6392
807,Narim,Sudan,Definitely endangered,3623,4.9048,34.2224
808,Garífuna (Guatemala),Guatemala,Vulnerable,3564,15.8268,-88.7506
809,Nachiring,Nepal,Severely endangered,3553,27.4144,86.7521
810,Eastern Popoloc,Mexico,Vulnerable,3544,18.3322,-97.3471
811,Nding,Sudan,Critically endangered,3513,10.4121,30.6024
812,Anung (Myanmar),Myanmar,Severely endangered,3500,27.2,98.6333
813,Camsá,Colombia,Definitely endangered,3500,0.8788,-76.7724
814,Crow,United States of America,Definitely endangered,3500,45.5963,-107.4613
815,Sak (Myanmar),Myanmar,Vulnerable,3500,21.2333,93.0761
816,Shwai,Sudan,Critically endangered,3500,11.3184,30.4156
817,Wano,Indonesia,Definitely endangered,3500,-3.5463,137.9058
818,Northwestern Ojibwe,Canada,Vulnerable,3465,52.0016,-95.4274
819,Bakpinka,Nigeria,Critically endangered,3416,5.3644,8.2397
820,Morokodo,Sudan,Severely endangered,3400,6.0313,29.7949
821,Eloxochitlán Mazatec,Mexico,Vulnerable,3384,18.1754,-96.8765
822,Menik,Senegal,Definitely endangered,3375,12.7528,-12.2717
823,Teribe (Panama),Panama,Definitely endangered,3305,9.4472,-82.5166
824,Tima,Sudan,Severely endangered,3305,11.7033,29.1934
825,Mursi,Ethiopia,Vulnerable,3278,5.5831,36.5075
826,Pendau,Indonesia,Vulnerable,3200,0.1922,120.0091
827,Ayautla Mazatec,Mexico,Vulnerable,3192,18.019,-96.7441
828,Yucatec,Belize,Definitely endangered,3155,17.0922,-89.1221
829,Sayultec,Mexico,Definitely endangered,3150,17.8816,-94.9597
830,Eastern Tlapanec,Mexico,Vulnerable,3088,17.8135,-98.604
831,Juhur (Caucasus),"Azerbaijan, Russian Federation",Definitely endangered,3016,42.0044,48.2409
832,Awjila,Libyan Arab Jamahiriya,Severely endangered,3000,26.6278,24.5214
833,Baleasang,Indonesia,Definitely endangered,3000,-0.0494,119.685
834,Benga,"Gabon, Equatorial Guinea",Definitely endangered,3000,0.9997,9.8657
835,Besoa,Indonesia,Vulnerable,3000,-1.7163,120.4211
836,Boni,Kenya,Definitely endangered,3000,-0.8294,40.8142
837,Bonjo,Congo,Severely endangered,3000,1.7712,17.9598
838,Brokshat,India,Definitely endangered,3000,34.6478,76.4978
839,Budukh,Azerbaijan,Severely endangered,3000,41.1207,48.3233
840,Dahaalik,Eritrea,Critically endangered,3000,15.6917,40.0671
841,East Greenlandic,Greenland (Kingdom of Denmark),Definitely endangered,3000,65.6061,-37.6858
842,Eastern Khanty,Russian Federation,Definitely endangered,3000,61.2491,74.5092
843,Fyem,Nigeria,Severely endangered,3000,9.6332,8.8632
844,Geta?,India,Severely endangered,3000,18.2293,82.727
845,Gura,Nigeria,Severely endangered,3000,10.075,6.8499
846,Harsusi,Oman,Definitely endangered,3000,19.9372,56.2637
847,Hozo,Ethiopia,Definitely endangered,3000,9.3352,34.53
848,Jemez,United States of America,Vulnerable,3000,35.6151,-106.7242
849,Kamara,Ghana,Definitely endangered,3000,9.0858,-2.2576
850,Kapingamarangi,Micronesia (Federated States of),Severely endangered,3000,1.0828,154.8081
851,Koitabu,Papua New Guinea,Vulnerable,3000,-9.346,147.1179
852,Kuk,Cameroon,Definitely endangered,3000,6.4326,10.2365
853,Lai,China,Definitely endangered,3000,24.4871,105.216
854,Limirong Tibetan,Nepal,Definitely endangered,3000,29.9164,81.7617
855,Lishanid Noshan (Israel),Israel,Severely endangered,3000,31.7188,34.7772
856,Lude,Russian Federation,Severely endangered,3000,61.5867,33.6813
857,"Mbya Guarani (Argentina, Uruguay)","Argentina, Uruguay",Severely endangered,3000,-29.6116,-57.4804
858,"Mohawk (Akwesasne, St. Regis)",United States of America,Definitely endangered,3000,45.0033,-74.6497
859,Nanay,"China, Russian Federation",Severely endangered,3000,49.3537,136.5243
860,Palu'e,Indonesia,Definitely endangered,3000,-8.3242,121.7106
861,Panare,Venezuela (Bolivarian Republic of),Vulnerable,3000,6.5445,-66.4233
862,Pilagá,Argentina,Vulnerable,3000,-25.4035,-58.6669
863,Pitjantjatjara,Australia,Vulnerable,3000,-26.0719,129.9517
864,Pukur,Guinea,Definitely endangered,3000,10.4013,-14.4799
865,Rotuman,Fiji,Vulnerable,3000,-12.5063,177.0776
866,Savi,"Pakistan, Afghanistan",Definitely endangered,3000,35.2085,71.845
867,Sherdukpen,India,Vulnerable,3000,27.1935,92.351
868,Shira Yugur,China,Severely endangered,3000,39.1002,99.2065
869,Takahanyilang,India,Critically endangered,3000,6.85,93.8726
870,U,China,Definitely endangered,3000,23.4844,99.8404
871,Ulithian,Micronesia (Federated States of),Severely endangered,3000,10.0229,139.6801
872,Waima'a,Timor-Leste,Definitely endangered,3000,-8.4995,126.3372
873,Warlpiri,Australia,Vulnerable,3000,-20.8177,131.6601
874,Yukpa,Venezuela (Bolivarian Republic of),Vulnerable,3000,9.7956,-72.9382
875,Western Montagnais,Canada,Vulnerable,2980,48.9635,-68.5729
876,Waiwai (Brazil),Brazil,Vulnerable,2916,-0.7909,-58.2714
877,Jersey French,United Kingdom of Great Britain and Northern Ireland,Severely endangered,2874,49.2211,-2.1368
878,Bahing,Nepal,Definitely endangered,2765,27.3126,86.5571
879,Stoney,Canada,Vulnerable,2765,51.161,-114.8533
880,Southwestern Tepehuan,Mexico,Vulnerable,2756,22.8349,-105.7276
881,Northern Mansi,Russian Federation,Severely endangered,2746,62.6539,63.1494
882,Bisu,"Myanmar, Thailand",Definitely endangered,2740,19.715,99.6789
883,Wari,Brazil,Definitely endangered,2721,-11.7275,-65.0061
884,Pakan,China,Definitely endangered,2700,23.7447,105.2235
885,Yami,China,Vulnerable,2700,22.0512,121.5403
886,Ko,Sudan,Critically endangered,2683,10.6714,30.8386
887,Yuracaré,Bolivia (Plurinational State of),Definitely endangered,2675,-16.6888,-65.4345
888,Aimol,India,Critically endangered,2643,24.4971,93.6145
889,Kohi,Nepal,Vulnerable,2641,27.3607,86.8661
890,Chatino of the western lowlands,Mexico,Definitely endangered,2640,16.3049,-97.5466
891,Bolo,Angola,Definitely endangered,2627,-10.5526,14.9633
892,Logol,Sudan,Severely endangered,2600,10.8521,30.6463
893,Sila,"Lao People's Democratic Republic, Viet Nam",Definitely endangered,2600,22.3094,102.041
894,Pisaflores Tepehua,Mexico,Vulnerable,2578,20.6883,-98.0125
895,Xerente,Brazil,Severely endangered,2569,-9.3356,-48.2227
896,Bribri (Panama),Panama,Severely endangered,2521,9.4813,-82.6174
897,Achuar,"Ecuador, Peru",Definitely endangered,2500,-2.8991,-77.4316
898,Bai,Sudan,Definitely endangered,2500,8.0592,25.5102
899,Banka,Mali,Definitely endangered,2500,11.4261,-5.6744
900,Culina (Peru),Peru,Definitely endangered,2500,-9.6224,-70.7958
901,Gadang,Chad,Definitely endangered,2500,10.3473,17.2485
902,Khinalug,Azerbaijan,Severely endangered,2500,41.1579,48.0706
903,Laomian (China),China,Definitely endangered,2500,23.7645,100.0195
904,Laomian (Myanmar),Myanmar,Definitely endangered,2500,22.6833,99.25
905,Lhokpu,Bhutan,Definitely endangered,2500,26.9514,89.2968
906,Martuwangka,Australia,Vulnerable,2500,-24.1975,122.9589
907,Mayoruna (Peru),Peru,Vulnerable,2500,-5.5285,-73.4765
908,Pingelapese,Micronesia (Federated States of),Severely endangered,2500,6.2279,160.7107
909,Rapanui,Chile,Severely endangered,2500,-27.108,-109.3579
910,Remo,India,Severely endangered,2500,19.1659,82.6391
911,Roshorvi,Tajikistan,Severely endangered,2500,38.1086,72.1719
912,Sanglechi,"Tajikistan, Afghanistan",Severely endangered,2500,36.6585,71.4784
913,Semelai,Malaysia,Severely endangered,2500,3.1761,102.4818
914,Urak Lawoi (Malaysia),Malaysia,Definitely endangered,2500,6.4194,99.7869
915,Urak Lawoi (Thailand),Thailand,Definitely endangered,2500,7.7756,98.3306
916,Zirenkel,Chad,Definitely endangered,2500,12.136,18.4735
917,Vumbu,Gabon,Definitely endangered,2460,-1.8783,10.816
918,Mopán (Guatemala),Guatemala,Severely endangered,2455,16.5144,-89.4167
919,Cuiba,"Colombia, Venezuela (Bolivarian Republic of)",Severely endangered,2445,6.4463,-69.9389
920,Raji,Nepal,Severely endangered,2413,27.9721,82.3135
921,Highland Chontal,Mexico,Severely endangered,2410,16.2832,-95.857
922,Yasa,"Cameroon, Equatorial Guinea",Definitely endangered,2401,2.3284,9.8464
923,Bumbita Arapesh,Papua New Guinea,Vulnerable,2353,-3.6449,142.8002
924,Mang (China),China,Definitely endangered,2300,22.8293,103.1039
925,Mang (Viet Nam),Viet Nam,Definitely endangered,2300,22.35,102.9666
926,Tlachichilco Tepehua,Mexico,Definitely endangered,2234,20.6205,-98.1991
927,Blackfoot (Canada),Canada,Definitely endangered,2200,49.3535,-113.2884
928,Jaya,Chad,Severely endangered,2200,12.187,18.1645
929,Karipuna do Amapá,Brazil,Vulnerable,2200,3.3379,-51.6796
930,Kulfa,Chad,Definitely endangered,2200,9.9742,19.1848
931,Krahô,Brazil,Vulnerable,2184,-8.4071,-47.2851
932,Kristang,Malaysia,Severely endangered,2150,2.1935,102.256
933,Yine,Peru,Definitely endangered,2150,-11.4584,-73.0261
934,North Alaskan Inupiaq (Kotzebue Sound),United States of America,Severely endangered,2144,66.8972,-162.5855
935,North Alaskan Inupiaq (North Slope),United States of America,Severely endangered,2144,71.2725,-156.7749
936,Seward Peninsula Inupiaq (King Island),United States of America,Critically endangered,2144,64.9728,-168.0616
937,Seward Peninsula Inupiaq (Little Diomede Island),United States of America,Critically endangered,2144,65.755,-168.9167
938,Seward Peninsula Inupiaq (Norton Sound),United States of America,Critically endangered,2144,64.5433,-163.029
939,Katukína-Kanamarí,Brazil,Vulnerable,2100,-5.6159,-68.7304
940,Tiwi,Australia,Vulnerable,2100,-11.6091,130.8911
941,Zaozou,China,Vulnerable,2100,26.1554,99.2944
942,Ngäbere (Costa Rica),Costa Rica,Definitely endangered,2041,8.4723,-82.9907
943,Aiton,India,Severely endangered,2000,26.6523,94.2901
944,Anindilyakwa,Australia,Vulnerable,2000,-13.9987,136.582
945,Apurinã,Brazil,Definitely endangered,2000,-5.4847,-63.8964
946,Arrernte,Australia,Vulnerable,2000,-24.1668,132.0996
947,Ashkun,Afghanistan,Definitely endangered,2000,34.9973,71.0746
948,Ata,Philippines,Critically endangered,2000,9.6081,122.9155
949,Athpahariya,Nepal,Definitely endangered,2000,26.952,87.3399
950,Ava-Guaraní,Argentina,Definitely endangered,2000,-23.1403,-64.3359
951,Bayso,Ethiopia,Definitely endangered,2000,6.4081,37.749
952,Birhor,India,Critically endangered,2000,21.7594,85.935
953,Boano,Indonesia,Vulnerable,2000,0.4724,120.9979
954,Bori,"China, India",Definitely endangered,2000,28.9889,94.4439
955,Chepya,Lao People's Democratic Republic,Definitely endangered,2000,21.3833,101.8166
956,Chilisso,Pakistan,Severely endangered,2000,35.2136,73.2396
957,Culina (Brazil),Brazil,Vulnerable,2000,-7.1008,-68.7744
958,Damana,Colombia,Definitely endangered,2000,10.9196,-73.4985
959,Duguza,Nigeria,Definitely endangered,2000,9.9039,9.1186
960,Galibi Marworno,Brazil,Vulnerable,2000,3.4256,-52.0312
961,Gats'ama - Ganjule - Harro,Ethiopia,Definitely endangered,2000,5.9548,37.5292
962,Gebe,Indonesia,Vulnerable,2000,-0.1922,129.5397
963,Ghadames,Libyan Arab Jamahiriya,Vulnerable,2000,30.1166,9.5251
964,Griko (Calabria),Italy,Severely endangered,2000,37.9961,15.9329
965,Huilliche,Chile,Critically endangered,2000,-40.4803,-73.5424
966,Ik,Uganda,Severely endangered,2000,3.5024,34.1894
967,Jangshung,India,Definitely endangered,2000,31.7748,78.4753
968,Jero,Nepal,Vulnerable,2000,27.2241,86.3909
969,Kari'ña (French Guyana),French Guiana (France),Definitely endangered,2000,5.5066,-53.6572
970,Khamnigan Mongol,"China, Mongolia, Russian Federation",Definitely endangered,2000,50.3454,114.1094
971,Kona,Nigeria,Severely endangered,2000,9.0587,11.2829
972,Koreguaje,Colombia,Definitely endangered,2000,1.0,-75.0
973,Koryak,Russian Federation,Severely endangered,2000,61.8561,168.6621
974,Kota,India,Critically endangered,2000,11.4154,76.8576
975,Logorik,Sudan,Critically endangered,2000,11.1433,29.8306
976,Lule Saami,"Norway, Sweden",Severely endangered,2000,67.272,17.7978
977,Luro,India,Critically endangered,2000,7.915,93.3837
978,Mambai,Chad,Severely endangered,2000,9.6007,14.0899
979,Milang,India,Definitely endangered,2000,28.488,95.2954
980,Mocoví,Argentina,Definitely endangered,2000,-27.6056,-59.7656
981,Momuna,Indonesia,Vulnerable,2000,-5.0,139.0
982,Mpi,Thailand,Definitely endangered,2000,18.2554,100.2227
983,Muda,China,Vulnerable,2000,21.8421,100.6851
984,Munji,Afghanistan,Severely endangered,2000,36.0379,70.6723
985,Nguon,Viet Nam,Vulnerable,2000,17.5333,105.3833
986,Nheengatu / Yeral (Venezuela),Venezuela (Bolivarian Republic of),Severely endangered,2000,1.2303,-66.8408
987,Nihali,India,Critically endangered,2000,20.5402,76.0913
988,Nyishangba,Nepal,Definitely endangered,2000,28.6423,84.1017
989,Ottawa (Walpole Island),"Canada, United States of America",Severely endangered,2000,42.6068,-82.5195
990,Prasun,Afghanistan,Definitely endangered,2000,35.3543,71.26
991,Rukai,China,Vulnerable,2000,22.792,120.8104
992,Sáliba,"Colombia, Venezuela (Bolivarian Republic of)",Severely endangered,2000,5.3097,-69.873
993,Sangkong,China,Vulnerable,2000,21.5158,100.6957
994,Sarwa,Chad,Definitely endangered,2000,10.5958,17.0397
995,Shoshoni (Idaho),United States of America,Severely endangered,2000,43.0438,-112.4629
996,Shoshoni (Nevada),United States of America,Severely endangered,2000,40.0358,-113.9835
997,Shoshoni (Wyoming),United States of America,Severely endangered,2000,43.014,-108.8209
998,Tai Phake,India,Severely endangered,2000,27.5033,95.2185
999,Tamazight (Arzew),Algeria,Critically endangered,2000,35.5869,-0.4737
1000,Tanglang,China,Vulnerable,2000,26.0863,99.7119
1001,Tchitchege,Gabon,Definitely endangered,2000,-1.8508,13.612
1002,Tinan,"China, India",Definitely endangered,2000,32.519,77.6733
1003,Tsafiki,Ecuador,Definitely endangered,2000,-0.25,-79.15
1004,Ukhwejo,Central African Republic,Severely endangered,2000,3.3626,16.0565
1005,Urarina,Peru,Vulnerable,2000,-4.3464,-75.3002
1006,Ushojo,Pakistan,Definitely endangered,2000,35.0209,72.897
1007,Waigali,Afghanistan,Definitely endangered,2000,35.1895,71.1941
1008,Waotededo,Ecuador,Vulnerable,2000,-1.1864,-76.6296
1009,Wotapuri-Katarqalai,Afghanistan,Definitely endangered,2000,34.4166,70.3333
1010,Wutun,China,Definitely endangered,2000,35.791,102.4365
1011,Candoshi,Peru,Definitely endangered,1900,-3.7107,-76.9042
1012,Hupda (Brazil),Brazil,Vulnerable,1900,0.7909,-68.247
1013,Mixtec of the central Ravine,Mexico,Definitely endangered,1878,17.9666,-96.8333
1014,Kendeje,Chad,Definitely endangered,1859,13.6299,21.5771
1015,Hunzib,Russian Federation,Definitely endangered,1839,42.1654,46.2991
1016,Tchumbuli,Benin,Critically endangered,1838,8.7113,2.1533
1017,Cashibo-Cacataibo,Peru,Definitely endangered,1800,-8.9393,-75.0915
1018,Grass Koiari,Papua New Guinea,Vulnerable,1800,-9.4558,147.5559
1019,Isirawa,Indonesia,Vulnerable,1800,-1.8783,138.5485
1020,Lanoh,Malaysia,Critically endangered,1800,5.2509,101.0206
1021,Lemolang,Indonesia,Vulnerable,1800,-2.6303,120.1849
1022,Nila (Seram Island),Indonesia,Definitely endangered,1800,-3.2173,128.9849
1023,Shixing,China,Definitely endangered,1800,28.5263,100.4734
1024,Chuj (Mexico),Mexico,Critically endangered,1771,16.1203,-92.0407
1025,Darma,"India, Nepal",Definitely endangered,1761,30.0037,80.5641
1026,Kung,Cameroon,Severely endangered,1750,6.5227,10.1074
1027,Lokono (Guyana),"Guyana, Venezuela (Bolivarian Republic of)",Critically endangered,1750,6.2934,-58.0957
1028,Byangsi,"India, Nepal",Definitely endangered,1734,30.0595,80.7824
1029,Pasing,Lao People's Democratic Republic,Definitely endangered,1732,21.1254,101.4697
1030,Yamphu,Nepal,Definitely endangered,1722,27.5935,87.3316
1031,Andio,Indonesia,Vulnerable,1700,-0.8514,123.1457
1032,Cheyenne (Montana),United States of America,Definitely endangered,1700,45.5495,-106.5263
1033,Kumzari,Oman,Severely endangered,1700,26.1936,56.2431
1034,Quechua of Yauyos,Peru,Critically endangered,1700,-12.9081,-75.6958
1035,Bainouk-Samik,Senegal,Severely endangered,1685,12.5733,-16.2652
1036,Côông,Viet Nam,Definitely endangered,1676,22.5943,102.7455
1037,Dogrib,Canada,Vulnerable,1675,62.8292,-115.9904
1038,Upland Yuman,United States of America,Vulnerable,1650,36.2377,-112.7094
1039,Eastern Cuicatec,Mexico,Vulnerable,1641,17.9666,-96.7166
1040,Tamazight (Ait Rouadi),Morocco,Extinct,1637,32.5745,-5.9655
1041,Woleaian,Micronesia (Federated States of),Severely endangered,1631,7.3515,143.8769
1042,Huehuetla Tepehua,Mexico,Definitely endangered,1603,20.46,-98.0761
1043,Kadiwéu,Brazil,Definitely endangered,1600,-20.5222,-56.7237
1044,Southern Tiwa (Isleta Pueblo),United States of America,Definitely endangered,1600,34.9057,-106.7066
1045,Southern Tiwa (Sandia Pueblo),United States of America,Definitely endangered,1600,35.2516,-106.565
1046,Tewa (Arizona),United States of America,Definitely endangered,1600,35.8334,-110.3798
1047,Tewa (New Mexico),United States of America,Severely endangered,1600,36.053,-106.0708
1048,ǁGana,Botswana,Vulnerable,1550,-21.7824,21.8971
1049,Akwáwa,Brazil,Vulnerable,1548,-5.2441,-52.7014
1050,Northern Cuicatec,Mexico,Vulnerable,1503,17.9511,-96.7384
1051,Chiquihuitlán Mazatec,Mexico,Definitely endangered,1502,17.9953,-96.7449
1052,Apinajé,Brazil,Vulnerable,1500,-6.0317,-47.5604
1053,Bashkarik,Pakistan,Severely endangered,1500,35.2893,72.6168
1054,Chintang,Nepal,Severely endangered,1500,26.9367,87.1991
1055,Forest Nenets,Russian Federation,Severely endangered,1500,64.9188,77.7941
1056,Hupda (Colombia),Colombia,Definitely endangered,1500,0.3845,-70.1367
1057,Jah Hut,Malaysia,Severely endangered,1500,3.6452,102.3065
1058,Jeri,Côte d'Ivoire,Severely endangered,1500,9.2647,-5.8666
1059,Jonkor Bourmataguil,Chad,Severely endangered,1500,11.4261,19.0145
1060,K'emant,Ethiopia,Severely endangered,1500,12.9349,37.2326
1061,Kanashi,India,Definitely endangered,1500,32.0406,77.1075
