,language,countries,endangerment,speakers,latitude,longitude
77,Judezmo (Israel),Israel,Severely endangered,400000,32.0872,34.7737
78,Lalo,China,Vulnerable,400000,25.383,99.9426
79,Limousin,France,Severely endangered,400000,46.0579,1.8017
80,Logudorese,Italy,Definitely endangered,400000,40.1116,9.1845
81,Mapuche (Chile),Chile,Definitely endangered,400000,-38.5653,-73.081
82,Central Náhuatl,Mexico,Vulnerable,395581,19.191,-99.0236
83,Moselle Franconian,"Germany, Belgium, France, Luxembourg",Vulnerable,390000,49.6071,6.1248
84,Bantawa,Nepal,Vulnerable,371056,27.0994,87.0048
85,Santa,China,Vulnerable,360000,35.5411,102.7935
86,Mingrelian,Georgia,Definitely endangered,350000,42.4599,41.7205
87,West Frisian,Netherlands,Vulnerable,350000,53.1006,5.6579
88,Gurung,Nepal,Definitely endangered,338925,28.275,84.1782
89,Guajiro,"Colombia, Venezuela (Bolivarian Republic of)",Vulnerable,318500,11.8673,-71.9824
90,Karachay-Balkar,Russian Federation,Vulnerable,302748,44.2137,42.8466
91,Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey",Vulnerable,300000,44.9181,39.7485
92,Buryat (Trans-Baikal),Russian Federation,Definitely endangered,300000,50.8336,109.5117
93,Kurru,India,Definitely endangered,300000,16.6151,81.6284
94,Kuvi,India,Definitely endangered,300000,18.9478,83.5839
95,Limbu,"India, Nepal",Definitely endangered,300000,27.096,87.7356
96,Moroccan Judeo-Arabic (Israel),Israel,Definitely endangered,300000,32.0476,34.7552
97,Plautdietsch,Ukraine,Definitely endangered,300000,47.0738,35.5545
98,Pontic Greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine",Definitely endangered,300000,40.847,40.0149
99,"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Ecuador,Definitely endangered,300000,-1.8673,-78.9257
100,Waxiang,China,Vulnerable,300000,28.5652,110.3576
101,Oyrat,"China, Kyrgyzstan, Mongolia",Definitely endangered,280000,46.195,88.7255
102,Garhwali,India,Vulnerable,279500,30.0976,79.1235
103,Bade,Nigeria,Vulnerable,250000,12.801,11.1181
104,Breton,France,Severely endangered,250000,48.2246,-3.9331
105,Gascon,"Spain, France",Definitely endangered,250000,43.1811,-0.1428
106,Phula (China),China,Vulnerable,250000,22.6001,104.0004
107,Sora,India,Vulnerable,250000,19.1244,83.2104
108,Konyak,India,Vulnerable,248000,26.9367,95.1745
109,Ao,India,Vulnerable,243000,26.4361,94.6472
110,Tuvan,"China, Mongolia, Russian Federation",Vulnerable,242754,51.7134,94.3945
111,Nafusi,Libyan Arab Jamahiriya,Severely endangered,240000,32.6393,13.4252
112,Suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey",Definitely endangered,240000,36.4477,43.2971
113,Malto,India,Definitely endangered,224926,23.7853,85.4736
114,Khowar,Pakistan,Vulnerable,222800,35.8667,71.7956
115,Maiya,Pakistan,Vulnerable,220000,35.3151,72.908
116,Komi,Russian Federation,Definitely endangered,217316,62.3087,51.5917
117,Alpine Provençal,"France, Italy",Definitely endangered,200000,44.7467,6.6796
118,Gallo,France,Severely endangered,200000,47.931,-2.0544
119,Gera,Nigeria,Vulnerable,200000,10.5553,10.0579
120,Irula,India,Vulnerable,200000,11.4369,76.5032
121,Kharia,India,Vulnerable,200000,21.8003,85.4956
