,language,endangerment,speakers,state
2076,Achumawi,Critically endangered,10,California
2078,Arikara,Critically endangered,10,North Dakota
2084,Gros Ventre,Critically endangered,10,Montana
2094,Kawaiisu,Critically endangered,10,California
2105,Mandan,Critically endangered,10,North Dakota
2115,Northern Paiute (Idaho),Critically endangered,10,Idaho
2117,Oneida (Wisconsin),Critically endangered,10,Wisconsin
2118,Onondaga (New York),Critically endangered,10,New York
2119,Osage,Critically endangered,10,Oklahoma
2121,Pawnee,Critically endangered,10,Oklahoma
2131,Tule-Kaweah Yokuts,Critically endangered,10,California
2133,Wichita,Critically endangered,10,Oklahoma
2153,Kiksht,Critically endangered,7,Oregon
2158,Ipai,Critically endangered,6,California
2160,Kings River Yokuts,Critically endangered,6,California
2163,Northern Sierra Miwok,Critically endangered,6,California
2174,Holikachuk,Critically endangered,5,Alaska
2179,Kalispel,Critically endangered,5,Washington
2182,Luiseño,Critically endangered,5,California
2183,Lushootseed,Critically endangered,5,Washington
2203,Yuchi,Critically endangered,5,Oklahoma
2205,Coeur d'Alene,Critically endangered,4,Idaho
2222,Central Pomo,Critically endangered,3,California
2223,Central Sierra Miwok,Critically endangered,3,California
2224,Chemehuevi,Critically endangered,3,Arizona
2225,Kiowa Apache,Critically endangered,3,Oklahoma
2226,Konkow,Critically endangered,3,California
2227,Lake Miwok,Critically endangered,3,California
2229,Mescalero-Chiricahua Apache (Oklahoma),Critically endangered,3,Oklahoma
2230,Northern Pomo,Critically endangered,3,California
2232,Southern Pomo,Critically endangered,3,California
2233,Southern Sierra Miwok,Critically endangered,3,California
2234,Tubatulabal,Critically endangered,3,California
2235,Tuscarora (United States of America),Critically endangered,3,New York
2245,Klallam,Critically endangered,2,Washington
2251,Maidu,Critically endangered,2,California
2252,Oneida (New York),Critically endangered,2,New York
2257,Spokane,Critically endangered,2,Washington
2271,Patwin,Critically endangered,1,California
2276,Tolowa,Critically endangered,1,California
2279,Wintu-Nomlaki,Critically endangered,1,California
2292,Antoniano,Extinct,0,California
2295,Arapaho (Oklahoma),Extinct,0,Oklahoma
2302,Atsugewi,Extinct,0,California
2307,Barbareño,Extinct,0,California
2319,Catawba,Extinct,0,South Carolina
2320,Cayuga (Oklahoma),Extinct,0,Oklahoma
2321,Cayuse,Extinct,0,Oregon
2322,Central Kalapuyan,Extinct,0,Oregon
2326,Cowlitz,Extinct,0,Washington
2329,Cupeño,Extinct,0,California
2340,Eastern Abenaki,Extinct,0,Maine
2342,Eastern Pomo,Extinct,0,California
2343,Eel River Athabaskan,Extinct,0,California
2347,Eyak,Extinct,0,Alaska
2360,Hanis,Extinct,0,Oregon
2367,Huron-Wyandot (United States of America),Extinct,0,Oklahoma
2369,Ineseño,Extinct,0,California
2371,Island Chumash,Extinct,0,California
2377,Kansa,Extinct,0,Oklahoma
2382,Kato,Extinct,0,California
2393,Klamath-Modoc,Extinct,0,Oregon
2394,Konomihu,Extinct,0,California
2410,Lipan,Extinct,0,New Mexico
2416,Lower Chehalis,Extinct,0,Washington
2425,Mattole,Extinct,0,California
2426,Miami-Illinois,Extinct,0,Oklahoma
2427,Migueleño,Extinct,0,California
2435,Molala,Extinct,0,Oregon
2442,Natchez,Extinct,0,Mississippi
2443,New River Shasta,Extinct,0,Oregon
2447,Nisenan,Extinct,0,California
2448,Nooksack,Extinct,0,British Columbia
2450,Northeastern Pomo,Extinct,0,California
2454,Obispeño,Extinct,0,California
2472,Purisimeño,Extinct,0,California
2474,Quapaw,Extinct,0,Oklahoma
2475,Quileute,Extinct,0,Washington
2482,Serrano,Extinct,0,California
2488,Siuslaw,Extinct,0,Oregon
2490,Southeastern Pomo,Extinct,0,California
2501,Tillamook,Extinct,0,Oregon
2506,Tunica,Extinct,0,Louisiana
2507,Tututni,Extinct,0,Oregon
2508,Twana,Extinct,0,Washington
2512,Upper Chehalis,Extinct,0,Washington
2513,Upper Umpqua,Extinct,0,Oregon
2516,Ventureño,Extinct,0,California
2520,Wappo,Extinct,0,California
2522,Wiyot,Extinct,0,California
2530,Yuki,Extinct,0,California
2567,Chinook Jargon,Critically endangered,0,Oregon
2568,Chiwere,Extinct,0,Oklahoma
2629,Mohawk (Ganienkeh),Definitely endangered,0,New York
2631,Mohawk (Kanatsiohareke),Definitely endangered,0,New York
2639,Munsee (United States of America),Critically endangered,0,Pennsylvania
2663,Quinault,Extinct,0,Washington
2681,Southern Paiute,Severely endangered,0,Utah
2706,Unami,Extinct,0,Maryland
2712,Western Abenaki (United States of America),Extinct,0,New Hampshire
